"","actual_t+1","arima_predicted_t+1","arfima_predicted_t+1","actual_t+2","arima_predicted_t+2","arfima_predicted_t+2","actual_t+3","arima_predicted_t+3","arfima_predicted_t+3","actual_t+4","arima_predicted_t+4","arfima_predicted_t+4","actual_t+5","arima_predicted_t+5","arfima_predicted_t+5","actual_t+6","arima_predicted_t+6","arfima_predicted_t+6","actual_t+7","arima_predicted_t+7","arfima_predicted_t+7","actual_t+8","arima_predicted_t+8","arfima_predicted_t+8","actual_t+9","arima_predicted_t+9","arfima_predicted_t+9","actual_t+10","arima_predicted_t+10","arfima_predicted_t+10","actual_t+11","arima_predicted_t+11","arfima_predicted_t+11","actual_t+12","arima_predicted_t+12","arfima_predicted_t+12","actual_t+13","arima_predicted_t+13","arfima_predicted_t+13","actual_t+14","arima_predicted_t+14","arfima_predicted_t+14"
"11",27011.57,26888.5772439658,25117.5706651997,28731.52,26950.8182290304,22745.1495671117,29110.37,27013.2032879218,21584.1246254934,29340.43,27075.7327541385,20770.1753571533,32198.69,27138.4069619507,20136.0681695157,33148.12,27201.2262464026,19614.6809851865,31387.02,27264.1909433138,19171.3680973436,34310.41,27327.3013892814,18785.6412192483,36058.42,27390.5579216815,18444.2817315724,39675.41,27453.9608786712,18138.2234194006,40717.17,27517.5105991904,17860.9582760289,40413.68,27581.2074229635,17607.6465275528,38455.04,27645.0516905013,17374.5856955465,34470.16,27709.0437431029,17158.8768718986
"12",28731.52,27074.0956855238,24750.9586527645,29110.37,27136.7661038918,22721.0928900614,29340.43,27199.5815901278,21634.6363749748,32198.69,27262.5424800311,20851.918126572,33148.12,27325.6491101784,20233.6610142354,31387.02,27388.9018179254,19721.0000324677,34310.41,27452.3009414089,19282.6185466949,36058.42,27515.8468195481,18899.6191311287,39675.41,27579.539792047,18559.6308944639,40717.17,27643.3801993958,18254.0751405929,40413.68,27707.3683828729,17976.7404796465,38455.04,27771.5046845467,17722.9755656337,34470.16,27835.7894472773,17489.2017426602,33648.77,27900.2230147185,17272.603693607
"13",29110.37,28798.026981421,27022.0010662264,29340.43,28864.6879114872,24036.7665076685,32198.69,28931.5031465549,22670.6184107121,33148.12,28998.4730438054,21736.1683169944,31387.02,29065.5979612467,21018.0821567383,34310.41,29132.8782577155,20432.9526745118,36058.42,29200.3142928792,19938.701058654,39675.41,29267.9064272378,19510.8365538523,40717.17,29335.6550221255,19133.743169686,40413.68,29403.5604397132,18796.8074620118,38455.04,29471.6230430101,18492.4661168319,34470.16,29539.8431958656,18215.1282473809,33648.77,29608.2212629712,17960.5383652694,37164.99,29676.7576098629,17725.3790316455
"14",29340.43,29177.7539336293,26209.6111761296,32198.69,29245.2938458501,23894.2618409016,33148.12,29312.9900977177,22663.024717108,31387.02,29380.843051123,21783.566355333,34310.41,29448.8530687947,21093.5007057142,36058.42,29517.0205143011,20524.2743627348,39675.41,29585.3457520522,20039.5776697212,40717.17,29653.8291473013,19617.6051611253,40413.68,29722.4710661473,19244.1462157855,38455.04,29791.2718755365,18909.3862027518,34470.16,29860.2319432648,18606.244567339,33648.77,29929.3516379791,18329.4362943165,37164.99,29998.63132918,18074.9070778223,38872.58,30068.071387223,17839.4758585217
"15",32198.69,29408.3464705833,27243.4340598121,33148.12,29476.420152461,24542.5237467491,31387.02,29544.6514095417,23206.6064555483,34310.41,29613.0406065763,22268.4818218513,36058.42,29681.5881091603,21537.935013479,39675.41,29750.2942837352,20937.9594444038,40717.17,29819.1594975909,20428.5910326088,40413.68,29888.1841188674,19986.110039598,38455.04,29957.3685165568,19595.1747060799,34470.16,30026.7130605056,19245.2447014977,33648.77,30096.218121416,18928.7453149868,37164.99,30165.8840708487,18640.0395399762,38872.58,30235.7112812242,18374.8133530507,36632.16,30305.7001258253,18129.6885577354
"16",33148.12,32273.2226971079,29804.7727016599,31387.02,32347.9279205807,26112.6813484992,34310.41,32422.8060697779,24456.0673235861,36058.42,32497.8575449836,23337.9667755044,39675.41,32573.0827474083,22487.1028246372,40717.17,32648.4820791912,21799.0265411761,40413.68,32724.0559434025,21221.3930800465,38455.04,32799.8047440454,20723.9271837165,34470.16,32875.7288860584,20287.4340661189,33648.77,32951.8287753169,19898.9345908211,37164.99,33028.1048186361,19549.2222057971,38872.58,33104.5574237731,19231.5197132862,36632.16,33181.1869994285,18940.6882732903,36139.13,33257.9939552491,18672.7357698942
"17",31387.02,33224.8504131832,29547.9375793216,34310.41,33301.7584399477,26362.6463868989,36058.42,33378.8444914289,24771.8585887484,39675.41,33456.1089797138,23665.5430281534,40717.17,33533.5523178433,22812.0994867098,40413.68,33611.1749198143,22116.7392209096,38455.04,33688.9772005824,21530.3021283389,34470.16,33766.9595760631,21023.7314590563,33648.77,33845.1224631352,20578.3306174659,37164.99,33923.4662796422,20181.3225422899,38872.58,34001.9914443951,19823.5721067777,36632.16,34080.6983771738,19498.3137826111,36139.13,34159.5874987304,19200.3930802729,36214.23,34238.6592307908,18925.7904258198
"18",34310.41,31459.6738643274,28279.6883113219,36058.42,31532.495905946,25851.048970981,39675.41,31605.4865141483,24480.9534435302,40717.17,31678.6460791278,23483.8671272836,40413.68,31751.9749919813,22695.1025995445,38455.04,31825.4736447108,22041.9738483094,34470.16,31899.142430226,21484.8968422688,33648.77,31972.9817423457,20999.6542993374,37164.99,32046.9919758006,20570.2581619496,38872.58,32121.1735262349,20185.5629003367,36632.16,32195.5267902088,19837.4725637082,36139.13,32270.0521652003,19519.9132470078,36214.23,32344.7500496076,19228.2074440348,36464.9,32419.6208427511,18958.67436187
"19",36058.42,34389.830852096,32364.3620850859,39675.41,34469.4355455321,28060.6572676235,40717.17,34549.2245058593,26172.3298265356,40413.68,34629.1981596139,24903.0600316543,38455.04,34709.3569343194,23939.0017044924,34470.16,34789.7012584891,23160.5682677477,33648.77,34870.231561628,22508.0230776171,37164.99,34950.9482742355,21946.8430619228,38872.58,35031.8518278074,21455.138828436,36632.16,35112.9426548383,21018.1044326929,36139.13,35194.2211888241,20625.2339562983,36214.23,35275.6878642639,20268.7916815006,36464.9,35357.3431166628,19942.9110569364,36686.14,35439.1873825338,19643.0344337318
"20",39675.41,36141.8871005575,31817.40658632,40717.17,36225.5474086066,28247.9082237666,40413.68,36309.4013713788,26459.3127392288,38455.04,36393.4494371413,25214.9265437668,34470.16,36477.6920551986,24255.228851716,33648.77,36562.1296758952,23473.7813082358,37164.99,36646.7627506183,22815.2870803569,38872.58,36731.5917317998,22247.0115663371,36632.16,36816.6170729189,21747.8633100615,36139.13,36901.8392285046,21303.4124619709,36214.23,36987.2586541379,20903.3329019711,36464.9,37072.8758064545,20539.9716769386,36686.14,37158.6911431469,20207.4951303719,35008.44,37244.7051229672,19901.352370621
