"","actual_t+1","arima_predicted_t+1","arfima_predicted_t+1","actual_t+2","arima_predicted_t+2","arfima_predicted_t+2","actual_t+3","arima_predicted_t+3","arfima_predicted_t+3","actual_t+4","arima_predicted_t+4","arfima_predicted_t+4","actual_t+5","arima_predicted_t+5","arfima_predicted_t+5","actual_t+6","arima_predicted_t+6","arfima_predicted_t+6","actual_t+7","arima_predicted_t+7","arfima_predicted_t+7","actual_t+8","arima_predicted_t+8","arfima_predicted_t+8","actual_t+9","arima_predicted_t+9","arfima_predicted_t+9","actual_t+10","arima_predicted_t+10","arfima_predicted_t+10","actual_t+11","arima_predicted_t+11","arfima_predicted_t+11","actual_t+12","arima_predicted_t+12","arfima_predicted_t+12","actual_t+13","arima_predicted_t+13","arfima_predicted_t+13","actual_t+14","arima_predicted_t+14","arfima_predicted_t+14"
"1",121.79,108.404564550783,109.716081122235,114.33,108.65939557583,108.350249166045,107.36,109.144170704289,103.541194280744,112.09,109.746901643727,97.129469017094,103.73,110.329175123831,92.1903688892363,110.21,110.775391394798,89.0071602026102,123.75,111.029668656624,86.7531443752273,128.52,111.108275959287,84.9820464303694,127.97,111.085332199082,83.5231710084219,129.23,111.06012875681,82.2849526912352,126.22,111.120290819728,81.2114684796022,127.72,111.314045861451,80.2657913031481,124.77,111.63928991277,79.4221792036838,126.16,112.050475387165,78.661944453457
"2",114.33,121.947128788338,124.667429263676,107.36,122.451514601517,121.787814988816,112.09,123.463390409054,114.913689549434,103.73,124.674906560261,108.200699288166,110.21,125.744109463551,102.149402930665,123.75,126.413569085353,96.9960996787337,128.52,126.592141672545,93.7808859820722,127.97,126.369191107762,91.3498701505979,129.23,125.960691396298,89.3908187326355,126.22,125.61716152813,87.7533695737342,127.72,125.534224850594,86.3504702027724,124.77,125.795971228328,85.1264821476107,126.16,126.362526188476,84.0434822643963,136.62,127.098059373545,83.0743993876322
"3",107.36,114.870228764036,108.416117981719,112.09,115.840242077766,100.445753102834,103.73,116.800669611973,94.1228074428261,110.21,117.510774929924,89.4510846356198,123.75,117.842061783952,86.5320373804191,128.52,117.811453214226,85.495424868586,127.97,117.55811841855,84.1878140860305,129.23,117.27916443734,82.9961434627024,126.22,117.154560235977,81.9328946695488,127.72,117.28965600395,80.982116573414,124.77,117.690751676618,80.126435582738,126.16,118.275481929912,79.3509897879171,136.62,118.910094248291,78.6436674714635,157.21,119.459552216722,77.99467900441
"4",112.09,108.333177595324,99.1334383802298,103.73,109.251914686587,92.7016857174402,110.21,109.742484338411,88.0526829248626,123.75,109.766339493941,85.2435168234841,128.52,109.451220051126,84.3997950821999,127.97,109.024667301276,83.3129338877226,129.23,108.721510735931,82.2346517042691,126.22,108.704197114108,81.2494637595801,127.72,109.020012486307,80.3575540578103,124.77,109.600931111612,79.5485458624953,126.16,110.299261061685,78.8113479505012,136.62,110.94484481706,78.1361302190907,157.21,111.404609788987,77.5145902306372,152.64,111.624218064442,76.9398057633181
"5",103.73,113.005562753072,109.336929635479,110.21,113.50222146058,106.580626713879,123.75,113.617425132947,103.889915813416,128.52,113.439737839094,101.897372328486,127.97,113.146730251487,97.9673640381428,129.23,112.931832752085,93.7732907976487,126.22,112.937122348828,91.2345689390564,127.72,113.21363641878,89.287990148437,124.77,113.716603085345,87.6905580180958,126.16,114.331548835696,86.3321167279986,136.62,114.919860497935,85.1501636543443,157.21,115.367898107158,84.1048481223078,152.64,115.622983870647,83.168846742598,161.37,115.704544500741,82.3224610604437
"6",110.21,104.267059584508,99.3025219434821,123.75,104.397762817329,95.7266544567848,128.52,104.025961949394,93.6157116968783,127.97,103.416402924501,90.3695455039015,129.23,102.878631966239,87.4842384283039,126.22,102.655366272995,86.2443587427653,127.72,102.853437576275,84.9631671456847,124.77,103.428710991247,83.8206907187996,126.16,104.218597127645,82.8034675937854,136.62,105.0073545083,81.8908755905515,157.21,105.603220979595,81.0655284820877,152.64,105.90172240532,80.3136291430517,161.37,105.912733797614,79.6242564593857,165.9,105.743482980336,78.9886809077641
"7",123.75,110.292548085005,110.115263542232,128.52,109.882805892932,110.081359922713,127.97,109.380608690755,106.883959935741,129.23,109.043816712916,102.647882669146,126.22,109.040699906015,98.9542308890284,127.72,109.40813722985,94.9757049593448,124.77,110.056948035143,92.4828359819355,126.16,110.815318486591,90.548036091877,136.62,111.494058617861,88.9493252843189,157.21,111.952166613198,87.5833084984129,152.64,112.140265090386,86.390396129691,161.37,112.107363594031,85.3322222136613,165.9,111.971773381479,84.3823039830876,171.86,111.871518722891,83.5214522244075
"8",128.52,123.161267272546,128.775676058985,127.97,122.559120979743,128.153442021537,129.23,122.511102692572,123.878671885262,126.22,123.050696311266,118.356969798191,127.72,124.016334677019,110.786880279951,124.77,125.124508426494,104.774382107195,126.16,126.07442356552,101.092692845784,136.62,126.651581847976,98.3191262264909,157.21,126.793906906968,96.0820336251255,152.64,126.59661236865,94.2074787598388,161.37,126.259154282597,92.596542467934,165.9,126.002404761227,91.1866663435441,171.86,125.991362962522,89.935459464676,173.17,126.288560863822,88.812745801622
"9",127.97,127.842136684255,127.811991499143,129.23,127.776906953064,123.497215862482,126.22,128.467565476794,117.979881059397,127.72,129.687756342501,110.451173609274,124.77,131.062324101358,104.501862272378,126.16,132.203143877682,100.88021321377,136.62,132.842558942148,98.1371703632751,157.21,132.916154831795,95.9207765082218,152.64,132.563247384057,94.061637630582,161.37,132.051708226053,92.4628006050795,165.9,131.66740920565,91.0627576503492,171.86,131.615677182124,89.8197474916858,173.17,131.965588076173,88.7040007173899,175.89,132.645670426958,87.6934973978902
"10",129.23,127.90354241585,123.702693262621,126.22,128.594527773594,118.207366881815,127.72,129.818958976742,110.672178763324,124.77,131.199956483725,104.701443302544,126.16,132.347091273231,101.046439374798,136.62,132.990647615251,98.2688077452191,157.21,133.065129732016,96.034813154785,152.64,132.710053486462,94.16370139854,161.37,132.194530277752,92.5559303786367,165.9,131.806111988566,91.148869925223,171.86,131.751607551083,89.9001566357772,173.17,132.100933065692,88.7796587857377,175.89,132.782644653565,87.7651216144735,170.47,133.623902110908,86.8396150277922
